epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,11698.1,1.70942,1.50225,1.46393,0.54824,0.59561,0.55292,0.29037,1.74831,1.60631,1.53922,0.000585032,0.000585032,0.000585032
1,2814.02,2.22385,5.3079,1.86728,0.17755,0.13839,0.10476,0.04546,1.90443,4.43141,1.57454,0.000295786,0.000295786,0.000295786
11,13809.8,1.62986,1.42083,1.4316,0.48347,0.65874,0.55621,0.29711,1.74916,1.50985,1.50525,0.000549036,0.000549036,0.000549036
2,5010.07,1.87649,2.41424,1.57961,0.5695,0.45155,0.45466,0.20735,1.91827,2.20242,1.55539,0.000539506,0.000539506,0.000539506
12,15633,1.57908,1.30631,1.41118,0.59565,0.64174,0.63262,0.33111,1.72059,1.40673,1.51192,0.00051304,0.00051304,0.00051304
3,7229.04,1.83677,2.03495,1.62152,0.5439,0.54296,0.47864,0.22644,1.8202,2.0781,1.56631,0.000723232,0.000723232,0.000723232
13,18638.9,1.62147,1.36104,1.40577,0.56966,0.57897,0.58014,0.29739,1.81635,1.51957,1.58055,0.000477043,0.000477043,0.000477043
4,9713.81,1.78506,1.83727,1.5898,0.56065,0.44614,0.42891,0.21985,1.71127,2.01383,1.50651,0.000639027,0.000639027,0.000639027
14,20531.4,1.57406,1.28985,1.37122,0.57653,0.60487,0.59078,0.31462,1.67203,1.42725,1.47324,0.000441047,0.000441047,0.000441047
5,11590.4,1.75418,1.66179,1.55211,0.5589,0.54448,0.57286,0.29244,1.71532,1.64836,1.49321,0.000549036,0.000549036,0.000549036
15,22285.1,1.54742,1.29691,1.37544,0.61895,0.62834,0.59794,0.32617,1.65637,1.46187,1.44917,0.00040505,0.00040505,0.00040505
6,13272.9,1.69409,1.54461,1.52646,0.67185,0.6329,0.63193,0.32196,1.73292,1.54567,1.47595,0.000459045,0.000459045,0.000459045
16,24135.7,1.52207,1.1943,1.43323,0.62379,0.61821,0.6312,0.34307,1.66112,1.39848,1.45201,0.000369054,0.000369054,0.000369054
7,15300.6,1.67172,1.4251,1.49925,0.61458,0.56405,0.61248,0.31929,1.63973,1.49589,1.44495,0.000369054,0.000369054,0.000369054
17,26088,1.49319,1.08553,1.4207,0.6037,0.60329,0.59572,0.33094,1.61665,1.3682,1.42444,0.000333058,0.000333058,0.000333058
8,17408,1.62026,1.34469,1.46929,0.66876,0.5564,0.62803,0.34735,1.59596,1.41041,1.40594,0.000279063,0.000279063,0.000279063
18,28374.8,1.45859,1.04328,1.38058,0.64455,0.61457,0.61713,0.3466,1.62099,1.38464,1.44335,0.000297061,0.000297061,0.000297061
9,19537.2,1.57045,1.27041,1.42625,0.66443,0.68535,0.63476,0.34432,1.59796,1.38873,1.39151,0.000189072,0.000189072,0.000189072
19,30500.4,1.45016,1.00856,1.3739,0.55945,0.64665,0.59576,0.32338,1.67046,1.40422,1.45775,0.000261065,0.000261065,0.000261065
10,21779,1.54248,1.20295,1.4057,0.63395,0.67303,0.65163,0.35536,1.59668,1.36527,1.37943,9.9081e-05,9.9081e-05,9.9081e-05
20,32122.6,1.39218,0.98347,1.35188,0.56604,0.63844,0.61292,0.34334,1.60598,1.30629,1.41528,0.000225068,0.000225068,0.000225068
21,32956.7,1.36589,0.92653,1.32356,0.56817,0.65843,0.62026,0.35309,1.60195,1.33002,1.41167,0.000189072,0.000189072,0.000189072
22,33884,1.33109,0.88847,1.31293,0.59268,0.65525,0.60364,0.33332,1.60378,1.33452,1.42078,0.000153076,0.000153076,0.000153076
23,34940,1.31823,0.87951,1.31107,0.56287,0.67088,0.61112,0.34461,1.58397,1.37222,1.41851,0.000117079,0.000117079,0.000117079
24,35903.1,1.29424,0.82688,1.28467,0.55081,0.66568,0.61224,0.3471,1.58149,1.36446,1.42296,8.10828e-05,8.10828e-05,8.10828e-05
25,36910,1.2566,0.80798,1.26412,0.60011,0.64438,0.5961,0.3367,1.58913,1.38988,1.42648,4.50864e-05,4.50864e-05,4.50864e-05
